Country Name,Indicator Name,2016,2017,2018
Finland,"Manufacturing, value added (current LCU)"," 31,671,000,000.00 "," 34,223,000,000.00 "," 35,401,000,000.00 "
Fiji,"Manufacturing, value added (current LCU)"," 1,128,960,664.64 "," 1,176,445,802.22 "," 1,235,268,092.33 "
France,"Manufacturing, value added (current LCU)"," 229,736,000,000.00 "," 229,366,000,000.00 "," 228,388,000,000.00 "
United Kingdom,"Manufacturing, value added (current LCU)"," 176,017,000,000.00 "," 183,887,000,000.00 "," 188,884,000,000.00 "
Georgia,"Manufacturing, value added (current LCU)"," 3,533,500,000.00 "," 4,031,700,000.00 "," 4,397,500,000.00 "
Guinea,"Manufacturing, value added (current LCU)"," 8,423,147,000,000.00 "," 9,233,038,000,000.00 "," 9,946,000,000,000.00 "
Guinea-Bissau,"Manufacturing, value added (current LCU)"," 79,149,000,000.00 "," 82,312,000,000.00 "," 84,699,070,300.00 "
Equatorial Guinea,"Manufacturing, value added (current LCU)"," 1,232,640,000,000.00 "," 1,816,484,000,000.00 "," 1,879,415,000,000.00 "
Greece,"Manufacturing, value added (current LCU)"," 16,222,066,300.00 "," 17,022,332,800.00 "," 17,731,063,400.00 "
Grenada,"Manufacturing, value added (current LCU)"," 96,119,400.00 "," 92,377,200.00 "," 101,314,700.00 "
Guatemala,"Manufacturing, value added (current LCU)"," 95,661,100,000.00 "," 100,028,800,000.00 "," 105,319,100,000.00 "
Honduras,"Manufacturing, value added (current LCU)"," 85,034,600,000.00 "," 92,482,300,000.00 "," 96,053,700,000.00 "
Croatia,"Manufacturing, value added (current LCU)"," 44,520,125,500.00 "," 45,618,317,400.00 "," 45,572,695,400.00 "
Hungary,"Manufacturing, value added (current LCU)"," 7,048,107,000,000.00 "," 7,516,518,000,000.00 "," 8,177,338,000,000.00 "
Indonesia,"Manufacturing, value added (current LCU)"," 2,545,203,600,000,000.00 "," 2,739,711,900,000,000.00 "," 2,947,299,200,000,000.00 "
India,"Manufacturing, value added (current LCU)"," 23,350,675,445,200.00 "," 25,420,894,449,800.00 "," 28,563,131,350,000.50 "
Ireland,"Manufacturing, value added (current LCU)"," 89,939,591,800.00 "," 94,064,231,200.00 "," 104,957,748,500.00 "
Italy,"Manufacturing, value added (current LCU)"," 249,518,100,000.00 "," 257,206,000,000.00 "," 263,388,300,000.00 "
Jamaica,"Manufacturing, value added (current LCU)"," 135,003,000,000.00 "," 146,041,000,000.00 "," 156,372,000,000.00 "
Jordan,"Manufacturing, value added (current LCU)"," 5,329,000,000.00 "," 5,545,000,000.00 "," 5,700,900,000.00 "
Japan,"Manufacturing, value added (current LCU)"," 110,816,600,000,000.00 "," 112,988,400,000,000.00 ",
Kazakhstan,"Manufacturing, value added (current LCU)"," 5,321,896,900,000.00 "," 5,944,890,900,000.00 "," 6,834,679,400,000.00 "
Kenya,"Manufacturing, value added (current LCU)"," 654,456,177,624.58 "," 655,331,762,029.22 "," 689,341,344,312.38 "
Kyrgyz Republic,"Manufacturing, value added (current LCU)"," 73,518,200,000.00 "," 79,522,700,000.00 "," 84,437,700,000.00 "
Cambodia,"Manufacturing, value added (current LCU)"," 12,994,787,245,500.00 "," 14,542,280,603,400.00 "," 16,274,905,205,100.00 "
St. Kitts and Nevis,"Manufacturing, value added (current LCU)"," 147,171,026.00 "," 137,091,427.00 "," 142,616,211.00 "
"Korea, Rep.","Manufacturing, value added (current LCU)"," 439,700,300,000,000.00 "," 477,112,100,000,000.00 "," 485,281,200,000,000.00 "
Kuwait,"Manufacturing, value added (current LCU)"," 2,380,700,000.00 "," 2,537,100,000.00 "," 3,371,500,000.00 "
Lao PDR,"Manufacturing, value added (current LCU)"," 10,384,690,899,300.00 "," 10,895,000,000,000.00 "," 11,208,037,444,100.30 "
Lebanon,"Manufacturing, value added (current LCU)"," 6,660,038,665,300.00 "," 6,894,014,558,300.00 "," 6,628,572,730,200.00 "
Liberia,"Manufacturing, value added (current LCU)"," 64,000,000.00 "," 60,530,700.00 "," 57,061,400.00 "
St. Lucia,"Manufacturing, value added (current LCU)"," 100,995,200.00 "," 106,899,300.00 "," 113,993,100.00 "
Sri Lanka,"Manufacturing, value added (current LCU)"," 1,964,786,105,300.00 "," 2,141,366,378,600.00 "," 2,343,640,830,400.00 "
Lithuania,"Manufacturing, value added (current LCU)"," 6,563,322,600.00 "," 7,250,840,500.00 "," 7,666,548,600.00 "
Luxembourg,"Manufacturing, value added (current LCU)"," 2,854,429,000.00 "," 2,725,610,000.00 "," 2,920,707,000.00 "
Latvia,"Manufacturing, value added (current LCU)"," 2,592,397,000.00 "," 2,890,532,000.00 "," 3,088,720,000.00 "
Moldova,"Manufacturing, value added (current LCU)"," 19,132,179,000.00 "," 20,666,026,000.00 "," 21,738,991,000.00 "
Mexico,"Manufacturing, value added (current LCU)"," 3,414,923,927,000.00 "," 3,761,239,826,000.00 "," 4,010,934,900,000.00 "
North Macedonia,"Manufacturing, value added (current LCU)"," 73,094,000,000.00 "," 78,179,000,000.00 "," 84,869,000,000.00 "
Malta,"Manufacturing, value added (current LCU)"," 899,151,254.51 "," 993,114,700.00 "," 1,081,638,144.50 "
Mongolia,"Manufacturing, value added (current LCU)"," 1,753,661,019,300.00 "," 2,523,054,429,500.00 "," 2,959,829,510,300.00 "
Mozambique,"Manufacturing, value added (current LCU)"," 59,806,494,900.00 "," 72,619,000,000.00 "," 92,968,823,400.00 "
Mauritius,"Manufacturing, value added (current LCU)"," 53,906,000,000.00 "," 53,965,000,000.00 "," 54,839,000,000.00 "
Malaysia,"Manufacturing, value added (current LCU)"," 273,521,000,000.00 "," 301,450,000,000.00 "," 313,813,000,000.00 "
Namibia,"Manufacturing, value added (current LCU)"," 18,289,435,192.11 "," 20,300,271,328.69 "," 19,424,549,831.63 "
Nigeria,"Manufacturing, value added (current LCU)"," 8,903,236,283,900.00 "," 10,044,484,948,900.00 "," 10,044,484,948,909.50 "
Nicaragua,"Manufacturing, value added (current LCU)"," 53,786,937,924.22 "," 58,069,104,515.74 "," 58,843,607,170.99 "
Netherlands,"Manufacturing, value added (current LCU)"," 76,862,000,000.00 "," 81,583,000,000.00 "," 85,971,000,000.00 "
Norway,"Manufacturing, value added (current LCU)"," 203,303,000,000.00 "," 208,170,000,000.00 "," 201,619,000,000.00 "
Nepal,"Manufacturing, value added (current LCU)"," 120,967,013,800.00 "," 133,861,791,500.00 "," 146,589,111,500.00 "
Oman,"Manufacturing, value added (current LCU)"," 8,450,600,000.00 "," 10,147,400,000.00 "," 11,644,082,100.00 "
Pakistan,"Manufacturing, value added (current LCU)"," 3,512,556,000,000.00 "," 3,829,856,000,000.00 "," 4,171,476,000,000.00 "
Panama,"Manufacturing, value added (current LCU)"," 3,577,200,000.00 "," 3,749,000,000.00 "," 3,760,200,000.00 "
Philippines,"Manufacturing, value added (current LCU)"," 2,847,596,776,572.31 "," 3,075,373,838,668.03 "," 3,320,346,480,482.77 "
Puerto Rico,"Manufacturing, value added (current LCU)"," 50,543,700,000.00 "," 50,423,700,000.00 "," 47,834,800,000.00 "
Portugal,"Manufacturing, value added (current LCU)"," 22,939,307,000.00 "," 24,293,185,000.00 "," 25,084,656,000.00 "
Paraguay,"Manufacturing, value added (current LCU)"," 39,008,309,507,300.00 "," 42,625,352,203,300.00 "," 45,545,350,990,662.40 "
Qatar,"Manufacturing, value added (current LCU)"," 46,814,000,000.00 "," 52,785,000,000.00 "," 64,188,000,000.00 "
Russian Federation,"Manufacturing, value added (current LCU)"," 10,330,881,279,300.00 "," 11,252,596,771,000.00 "," 12,783,564,257,000.00 "
Rwanda,"Manufacturing, value added (current LCU)"," 387,647,000,000.00 "," 450,469,000,000.00 "," 482,000,000,000.00 "
Saudi Arabia,"Manufacturing, value added (current LCU)"," 312,160,000,000.00 "," 332,901,000,000.00 "," 375,870,000,000.00 "
Senegal,"Manufacturing, value added (current LCU)"," 1,851,900,000,000.00 "," 2,336,083,342,309.96 "," 2,508,340,688,470.68 "
Singapore,"Manufacturing, value added (current LCU)"," 77,399,300,000.00 "," 88,184,900,000.00 "," 102,251,600,000.00 "
El Salvador,"Manufacturing, value added (current LCU)"," 3,919,650,000.00 "," 4,057,160,000.00 "," 4,216,810,000.00 "
Sao Tome and Principe,"Manufacturing, value added (current LCU)"," 540,095,843.50 "," 591,071,947.74 "," 652,289,399.51 "
Slovak Republic,"Manufacturing, value added (current LCU)"," 16,356,971,000.00 "," 17,227,547,000.00 "," 18,048,352,000.00 "
Slovenia,"Manufacturing, value added (current LCU)"," 8,149,771,700.00 "," 8,862,161,400.00 "," 9,497,922,000.00 "
Sweden,"Manufacturing, value added (current LCU)"," 585,662,000,000.00 "," 621,856,000,000.00 "," 661,154,000,000.00 "
Eswatini,"Manufacturing, value added (current LCU)"," 17,396,865,200.00 "," 17,788,101,600.00 "," 19,386,739,600.00 "
Seychelles,"Manufacturing, value added (current LCU)"," 1,093,415,837.37 "," 1,234,005,772.91 "," 1,421,952,057.98 "
Turks and Caicos Islands,"Manufacturing, value added (current LCU)"," 6,607,310.00 "," 6,982,470.00 "," 7,465,100.00 "
Togo,"Manufacturing, value added (current LCU)"," 191,997,000,000.00 "," 225,945,738,400.00 "," 236,315,170,000.00 "
Thailand,"Manufacturing, value added (current LCU)"," 3,984,776,000,000.00 "," 4,221,534,000,000.00 "," 4,391,851,000,000.00 "
Trinidad and Tobago,"Manufacturing, value added (current LCU)"," 24,865,394,000.00 "," 23,642,767,800.00 "," 25,209,945,900.00 "
Turkey,"Manufacturing, value added (current LCU)"," 432,979,604,172.78 "," 545,380,494,624.74 "," 705,318,020,946.56 "
Uganda,"Manufacturing, value added (current LCU)"," 7,238,502,454,400.00 "," 7,881,449,788,400.00 "," 8,305,354,071,884.34 "
Ukraine,"Manufacturing, value added (current LCU)"," 291,471,000,000.00 "," 359,867,000,000.00 "," 409,862,000,000.00 "
Uruguay,"Manufacturing, value added (current LCU)"," 203,704,139,800.00 "," 199,796,164,480.58 "," 213,363,704,097.87 "
United States,"Manufacturing, value added (current LCU)"," 2,080,660,512,000.00 "," 2,173,319,535,000.00 ",
St. Vincent and the Grenadines,"Manufacturing, value added (current LCU)"," 103,235,626.22 "," 101,737,679.93 "," 108,755,952.00 "
Vietnam,"Manufacturing, value added (current LCU)"," 642,338,000,000,000.00 "," 767,495,000,000,000.00 "," 886,580,000,000,000.00 "
Samoa,"Manufacturing, value added (current LCU)"," 199,926,400.00 "," 205,926,300.00 "," 166,760,000.00 "
"Yemen, Rep.","Manufacturing, value added (current LCU)"," 611,318,250,000.00 "," 572,750,125,000.00 "," 541,936,062,500.00 "
South Africa,"Manufacturing, value added (current LCU)"," 524,228,000,000.00 "," 558,957,000,000.00 "," 572,935,000,000.00 "
Zambia,"Manufacturing, value added (current LCU)"," 16,609,600,000.00 "," 20,013,600,000.00 "," 23,692,600,000.00 "
Zimbabwe,"Manufacturing, value added (current LCU)"," 2,382,828,800.00 "," 2,459,491,711.69 "," 2,537,086,537.01 "
