Country Name,Indicator Name,2016,2017,2018
East Asia & Pacific,"Inflation, consumer prices (annual %)",1.3%,1.9%,2.1%
Europe & Central Asia (excluding high income),"Inflation, consumer prices (annual %)",1.2%,3.1%,2.8%
Europe & Central Asia,"Inflation, consumer prices (annual %)",0.4%,1.9%,2.0%
Ecuador,"Inflation, consumer prices (annual %)",1.7%,0.4%,-0.2%
Euro area,"Inflation, consumer prices (annual %)",0.2%,1.4%,1.7%
Spain,"Inflation, consumer prices (annual %)",-0.2%,2.0%,1.7%
Estonia,"Inflation, consumer prices (annual %)",0.1%,3.4%,3.4%
European Union,"Inflation, consumer prices (annual %)",0.3%,1.5%,1.8%
Finland,"Inflation, consumer prices (annual %)",0.4%,0.8%,1.1%
Fiji,"Inflation, consumer prices (annual %)",3.9%,3.4%,4.1%
France,"Inflation, consumer prices (annual %)",0.2%,1.0%,1.9%
Gabon,"Inflation, consumer prices (annual %)",2.1%,2.7%,4.7%
United Kingdom,"Inflation, consumer prices (annual %)",1.0%,2.6%,2.3%
Ghana,"Inflation, consumer prices (annual %)",17.5%,12.4%,9.8%
Guinea,"Inflation, consumer prices (annual %)",8.2%,8.9%,9.8%
"Gambia, The","Inflation, consumer prices (annual %)",7.2%,8.0%,6.5%
Equatorial Guinea,"Inflation, consumer prices (annual %)",1.4%,0.7%,1.1%
Greece,"Inflation, consumer prices (annual %)",-0.8%,1.1%,0.6%
Grenada,"Inflation, consumer prices (annual %)",1.7%,0.9%,0.8%
Guatemala,"Inflation, consumer prices (annual %)",4.4%,4.4%,3.8%
Guyana,"Inflation, consumer prices (annual %)",0.8%,1.9%,1.3%
High income,"Inflation, consumer prices (annual %)",0.5%,1.6%,1.8%
"Hong Kong SAR, China","Inflation, consumer prices (annual %)",2.4%,1.5%,2.4%
Honduras,"Inflation, consumer prices (annual %)",2.7%,3.9%,4.3%
Heavily indebted poor countries (HIPC),"Inflation, consumer prices (annual %)",4.0%,5.0%,3.3%
Croatia,"Inflation, consumer prices (annual %)",-1.1%,1.1%,1.5%
Haiti,"Inflation, consumer prices (annual %)",11.5%,10.7%,12.5%
Hungary,"Inflation, consumer prices (annual %)",0.4%,2.3%,2.9%
IBRD only,"Inflation, consumer prices (annual %)",2.3%,3.2%,3.2%
IDA & IBRD total,"Inflation, consumer prices (annual %)",2.8%,3.3%,3.2%
IDA total,"Inflation, consumer prices (annual %)",3.1%,3.7%,4.0%
IDA blend,"Inflation, consumer prices (annual %)",1.7%,2.2%,3.6%
Indonesia,"Inflation, consumer prices (annual %)",3.5%,3.8%,3.2%
IDA only,"Inflation, consumer prices (annual %)",3.5%,3.9%,4.0%
India,"Inflation, consumer prices (annual %)",4.9%,2.5%,4.9%
Ireland,"Inflation, consumer prices (annual %)",0.0%,0.3%,0.5%
Iraq,"Inflation, consumer prices (annual %)",0.6%,0.2%,0.4%
Iceland,"Inflation, consumer prices (annual %)",1.7%,1.8%,2.7%
Israel,"Inflation, consumer prices (annual %)",-0.5%,0.2%,0.8%
Italy,"Inflation, consumer prices (annual %)",-0.1%,1.2%,1.1%
Jamaica,"Inflation, consumer prices (annual %)",2.3%,4.4%,3.7%
Jordan,"Inflation, consumer prices (annual %)",-0.8%,3.3%,4.5%
Japan,"Inflation, consumer prices (annual %)",-0.1%,0.5%,1.0%
Kenya,"Inflation, consumer prices (annual %)",6.3%,8.0%,4.7%
St. Kitts and Nevis,"Inflation, consumer prices (annual %)",-0.7%,0.7%,-1.0%
"Korea, Rep.","Inflation, consumer prices (annual %)",1.0%,1.9%,1.5%
Latin America & Caribbean (excluding high income),"Inflation, consumer prices (annual %)",2.7%,3.1%,3.2%
Lao PDR,"Inflation, consumer prices (annual %)",1.6%,0.8%,2.0%
Lebanon,"Inflation, consumer prices (annual %)",-0.8%,4.3%,6.1%
Liberia,"Inflation, consumer prices (annual %)",8.8%,12.4%,23.6%
St. Lucia,"Inflation, consumer prices (annual %)",-3.1%,0.1%,1.9%
Latin America & Caribbean,"Inflation, consumer prices (annual %)",1.7%,2.2%,2.4%
Least developed countries: UN classification,"Inflation, consumer prices (annual %)",5.4%,5.1%,4.0%
Low income,"Inflation, consumer prices (annual %)",6.0%,8.0%,3.8%
Sri Lanka,"Inflation, consumer prices (annual %)",4.0%,7.7%,2.1%
Lower middle income,"Inflation, consumer prices (annual %)",3.4%,3.7%,4.7%
Low & middle income,"Inflation, consumer prices (annual %)",3.0%,3.5%,3.5%
Lesotho,"Inflation, consumer prices (annual %)",6.6%,5.3%,4.0%
Late-demographic dividend,"Inflation, consumer prices (annual %)",1.1%,2.2%,2.5%
Lithuania,"Inflation, consumer prices (annual %)",0.9%,3.7%,2.7%
Luxembourg,"Inflation, consumer prices (annual %)",0.3%,1.7%,1.5%
Latvia,"Inflation, consumer prices (annual %)",0.1%,2.9%,2.5%
"Macao SAR, China","Inflation, consumer prices (annual %)",2.4%,1.2%,3.0%
Morocco,"Inflation, consumer prices (annual %)",1.6%,0.8%,1.9%
Moldova,"Inflation, consumer prices (annual %)",6.4%,6.6%,3.0%
Madagascar,"Inflation, consumer prices (annual %)",6.7%,8.3%,7.3%
Maldives,"Inflation, consumer prices (annual %)",0.5%,2.8%,-0.1%
Middle East & North Africa,"Inflation, consumer prices (annual %)",1.8%,1.5%,2.0%
Mexico,"Inflation, consumer prices (annual %)",2.8%,6.0%,4.9%
Middle income,"Inflation, consumer prices (annual %)",2.6%,3.3%,3.2%
North Macedonia,"Inflation, consumer prices (annual %)",-0.2%,1.4%,1.5%
Malta,"Inflation, consumer prices (annual %)",0.6%,1.4%,1.2%
Myanmar,"Inflation, consumer prices (annual %)",7.0%,4.6%,6.9%
Middle East & North Africa (excluding high income),"Inflation, consumer prices (annual %)",2.2%,3.8%,4.3%
Montenegro,"Inflation, consumer prices (annual %)",-0.3%,2.4%,2.6%
Mongolia,"Inflation, consumer prices (annual %)",1.1%,4.1%,6.8%
Mauritania,"Inflation, consumer prices (annual %)",1.5%,2.3%,3.1%
Mauritius,"Inflation, consumer prices (annual %)",1.0%,3.7%,3.2%
Malawi,"Inflation, consumer prices (annual %)",21.7%,11.5%,12.4%
Malaysia,"Inflation, consumer prices (annual %)",2.1%,3.9%,0.9%
North America,"Inflation, consumer prices (annual %)",1.3%,1.9%,2.4%
Namibia,"Inflation, consumer prices (annual %)",6.7%,6.1%,4.3%
Niger,"Inflation, consumer prices (annual %)",1.7%,2.8%,3.0%
Nigeria,"Inflation, consumer prices (annual %)",15.7%,16.5%,12.1%
Nicaragua,"Inflation, consumer prices (annual %)",3.5%,3.9%,4.9%
Netherlands,"Inflation, consumer prices (annual %)",0.3%,1.4%,1.7%
Norway,"Inflation, consumer prices (annual %)",3.6%,1.9%,2.8%
Nepal,"Inflation, consumer prices (annual %)",8.8%,3.6%,4.1%
New Zealand,"Inflation, consumer prices (annual %)",0.6%,1.9%,1.6%
OECD members,"Inflation, consumer prices (annual %)",0.4%,1.8%,1.9%
Oman,"Inflation, consumer prices (annual %)",1.1%,1.6%,0.9%
Other small states,"Inflation, consumer prices (annual %)",1.7%,2.7%,3.0%
Pakistan,"Inflation, consumer prices (annual %)",3.8%,4.1%,5.1%
Panama,"Inflation, consumer prices (annual %)",0.7%,0.9%,0.8%
Peru,"Inflation, consumer prices (annual %)",3.6%,2.8%,1.3%
Philippines,"Inflation, consumer prices (annual %)",1.3%,2.9%,5.2%
Poland,"Inflation, consumer prices (annual %)",-0.7%,2.1%,1.8%
Pre-demographic dividend,"Inflation, consumer prices (annual %)",3.8%,5.0%,3.1%
Portugal,"Inflation, consumer prices (annual %)",0.6%,1.4%,1.0%
Paraguay,"Inflation, consumer prices (annual %)",4.1%,3.6%,4.0%
Post-demographic dividend,"Inflation, consumer prices (annual %)",0.6%,1.7%,1.7%
Qatar,"Inflation, consumer prices (annual %)",2.9%,0.4%,0.3%
Romania,"Inflation, consumer prices (annual %)",-1.5%,1.3%,4.6%
Russian Federation,"Inflation, consumer prices (annual %)",7.0%,3.7%,2.9%
Rwanda,"Inflation, consumer prices (annual %)",7.2%,8.3%,-0.3%
South Asia,"Inflation, consumer prices (annual %)",4.3%,4.0%,4.1%
Saudi Arabia,"Inflation, consumer prices (annual %)",2.1%,-0.8%,2.5%
Senegal,"Inflation, consumer prices (annual %)",0.8%,1.3%,0.5%
Singapore,"Inflation, consumer prices (annual %)",-0.5%,0.6%,0.4%
Sierra Leone,"Inflation, consumer prices (annual %)",10.9%,18.2%,16.9%
El Salvador,"Inflation, consumer prices (annual %)",0.6%,1.0%,1.1%
Serbia,"Inflation, consumer prices (annual %)",1.1%,3.1%,2.0%
Sub-Saharan Africa (excluding high income),"Inflation, consumer prices (annual %)",5.6%,5.3%,4.1%
Sub-Saharan Africa,"Inflation, consumer prices (annual %)",5.5%,5.3%,4.0%
Small states,"Inflation, consumer prices (annual %)",1.3%,1.9%,2.6%
Sao Tome and Principe,"Inflation, consumer prices (annual %)",5.4%,5.7%,7.9%
Slovak Republic,"Inflation, consumer prices (annual %)",-0.5%,1.3%,2.5%
Slovenia,"Inflation, consumer prices (annual %)",-0.1%,1.4%,1.7%
Sweden,"Inflation, consumer prices (annual %)",1.0%,1.8%,2.0%
Eswatini,"Inflation, consumer prices (annual %)",7.8%,6.2%,4.8%
Seychelles,"Inflation, consumer prices (annual %)",-1.0%,2.9%,3.7%
Europe & Central Asia (IDA & IBRD countries),"Inflation, consumer prices (annual %)",0.8%,2.4%,2.6%
Togo,"Inflation, consumer prices (annual %)",1.3%,-1.0%,0.9%
Thailand,"Inflation, consumer prices (annual %)",0.2%,0.7%,1.1%
Latin America & the Caribbean (IDA & IBRD countries),"Inflation, consumer prices (annual %)",2.7%,2.6%,2.4%
Middle East & North Africa (IDA & IBRD countries),"Inflation, consumer prices (annual %)",2.7%,4.3%,4.3%
South Asia (IDA & IBRD),"Inflation, consumer prices (annual %)",4.3%,4.0%,4.1%
Sub-Saharan Africa (IDA & IBRD countries),"Inflation, consumer prices (annual %)",5.5%,5.3%,4.0%
Tunisia,"Inflation, consumer prices (annual %)",3.6%,5.3%,7.3%
Turkey,"Inflation, consumer prices (annual %)",7.8%,11.1%,16.3%
Tanzania,"Inflation, consumer prices (annual %)",5.2%,5.3%,3.5%
Uganda,"Inflation, consumer prices (annual %)",5.7%,5.2%,2.6%
Ukraine,"Inflation, consumer prices (annual %)",13.9%,14.4%,11.0%
Upper middle income,"Inflation, consumer prices (annual %)",1.7%,3.2%,2.8%
Uruguay,"Inflation, consumer prices (annual %)",9.6%,6.2%,7.6%
United States,"Inflation, consumer prices (annual %)",1.3%,2.1%,2.4%
St. Vincent and the Grenadines,"Inflation, consumer prices (annual %)",-0.1%,2.2%,2.3%
Vietnam,"Inflation, consumer prices (annual %)",3.2%,3.5%,3.5%
World,"Inflation, consumer prices (annual %)",1.5%,2.2%,2.5%
Samoa,"Inflation, consumer prices (annual %)",1.3%,1.7%,4.2%
South Africa,"Inflation, consumer prices (annual %)",6.6%,5.2%,4.5%
Zambia,"Inflation, consumer prices (annual %)",17.9%,6.6%,7.5%
