Country Name,Indicator Name,2016,2017,2018
Serbia,"Unemployment, total (% of total labor force) (national estimate)",15.3%,13.5%,12.7%
Slovak Republic,"Unemployment, total (% of total labor force) (national estimate)",9.7%,8.1%,6.5%
Slovenia,"Unemployment, total (% of total labor force) (national estimate)",8.0%,6.6%,5.1%
Sweden,"Unemployment, total (% of total labor force) (national estimate)",7.0%,6.7%,6.3%
Europe & Central Asia (IDA & IBRD countries),"Unemployment, total (% of total labor force) (national estimate)",7.4%,7.0%,6.7%
Latin America & the Caribbean (IDA & IBRD countries),"Unemployment, total (% of total labor force) (national estimate)",8.3%,8.7%,8.4%
South Asia (IDA & IBRD),"Unemployment, total (% of total labor force) (national estimate)",,,5.2%
Tunisia,"Unemployment, total (% of total labor force) (national estimate)",15.5%,15.4%,15.5%
Turkey,"Unemployment, total (% of total labor force) (national estimate)",10.8%,10.8%,10.9%
Ukraine,"Unemployment, total (% of total labor force) (national estimate)",9.4%,9.5%,8.8%
Uruguay,"Unemployment, total (% of total labor force) (national estimate)",7.8%,7.9%,8.3%
United States,"Unemployment, total (% of total labor force) (national estimate)",4.9%,4.4%,3.9%
Kosovo,"Unemployment, total (% of total labor force) (national estimate)",27.5%,30.3%,29.4%
South Africa,"Unemployment, total (% of total labor force) (national estimate)",26.6%,27.1%,26.9%
